Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003297s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003384s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003159s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003242s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003554s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003300s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003429s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003353s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003535s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003421s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003405s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003391s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003550s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003677s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003323s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003390s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003542s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003461s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003450s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003158s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003329s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.002680s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003210s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.002716s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003327s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003243s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003110s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003294s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003355s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003131s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003206s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003187s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003337s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003224s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003246s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003145s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003360s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003150s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003166s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003338s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003379s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003246s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003097s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003372s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003286s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003412s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003185s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003233s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003261s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003212s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.002376s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003311s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003348s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003200s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003151s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003175s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003382s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003313s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003218s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003176s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003299s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003176s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003342s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003170s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.002965s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003403s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003211s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003161s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003349s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003177s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003350s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003216s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003373s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003150s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003153s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003183s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003365s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003193s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003276s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003284s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003312s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003163s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003238s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003309s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003336s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003182s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003192s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003350s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003379s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003214s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003200s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003205s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003373s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003172s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003255s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003239s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003643s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003191s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003209s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003212s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003448s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003183s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003141s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003363s
