Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001655s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001607s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.000878s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001446s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001501s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001243s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001067s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001490s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001566s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001055s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001541s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001530s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001595s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001086s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001573s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001635s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001605s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001580s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001642s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001649s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001285s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001529s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001668s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001600s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001248s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001337s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001618s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001561s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001655s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.000719s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001517s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001710s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001640s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001727s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001651s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001603s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001696s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001764s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001302s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001459s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001558s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001752s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001623s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001629s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001708s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001603s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001672s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001657s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001064s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001468s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001658s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001090s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001365s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001584s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001370s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001146s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001354s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001633s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001335s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001343s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001564s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001582s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001573s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001066s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001311s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001632s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001484s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.000940s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001323s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.000999s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001592s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001492s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001587s
